ranking_date,team,rank,ranking_points
2023-04-06,Curaçao,88,1272.26
2023-04-06,New Zealand,100,1201.06
2023-06-29,Argentina,1,1843.73
2023-06-29,France,2,1843.54
2023-06-29,Brazil,3,1828.27
2023-06-29,England,4,1797.39
2023-06-29,Belgium,5,1788.55
2023-06-29,Croatia,6,1742.55
2023-06-29,Netherlands,7,1731.23
2023-06-29,Portugal,9,1718.25
2023-06-29,Spain,10,1703.45
2023-06-29,USA,11,1673.34
2023-06-29,Switzerland,12,1661.12
2023-06-29,Morocco,13,1655.5
2023-06-29,Mexico,14,1639.19
2023-06-29,Germany,15,1636.32
2023-06-29,Uruguay,16,1633.13
2023-06-29,Colombia,17,1624.91
2023-06-29,Senegal,18,1612.61
2023-06-29,Japan,20,1595.96
2023-06-29,IR Iran,22,1556.59
2023-06-29,Sweden,23,1547.11
2023-06-29,Australia,27,1530.45
2023-06-29,Korea Republic,28,1529.3
2023-06-29,Austria,29,1528.06
2023-06-29,Scotland,30,1520.24
2023-06-29,Tunisia,31,1516.66
2023-06-29,Algeria,33,1511.23
2023-06-29,Egypt,34,1509.89
2023-06-29,Czechia,37,1503.69
2023-06-29,Ecuador,40,1486.47
2023-06-29,Türkiye,41,1484.47
2023-06-29,Norway,44,1458.47
2023-06-29,Canada,45,1454.12
2023-06-29,Paraguay,48,1442.64
2023-06-29,Côte d'Ivoire,51,1433.38
2023-06-29,Saudi Arabia,53,1421.46
2023-06-29,Panama,57,1399.23
2023-06-29,Qatar,58,1393.52
2023-06-29,Ghana,59,1391.13
2023-06-29,Bosnia and Herzegovina,61,1381.1
2023-06-29,South Africa,62,1369.49
2023-06-29,Cabo Verde,66,1354.65
2023-06-29,Congo DR,69,1350.11
2023-06-29,Iraq,70,1345.21
2023-06-29,Uzbekistan,74,1327.58
2023-06-29,Jordan,82,1296.26
2023-06-29,Haiti,87,1275.96
2023-06-29,Curaçao,88,1267.87
2023-06-29,New Zealand,103,1199.04
2023-07-20,Argentina,1,1843.73
2023-07-20,France,2,1843.54
2023-07-20,Brazil,3,1828.27
2023-07-20,England,4,1797.39
2023-07-20,Belgium,5,1788.55
2023-07-20,Croatia,6,1742.55
2023-07-20,Netherlands,7,1731.23
2023-07-20,Portugal,9,1718.25
2023-07-20,Spain,10,1703.45
2023-07-20,USA,11,1674.48
2023-07-20,Mexico,12,1665.59
2023-07-20,Switzerland,13,1661.12
2023-07-20,Morocco,14,1655.5
2023-07-20,Germany,15,1636.32
2023-07-20,Uruguay,16,1633.13
2023-07-20,Colombia,17,1624.91
2023-07-20,Senegal,18,1612.61
2023-07-20,Japan,20,1595.96
2023-07-20,IR Iran,22,1556.59
2023-07-20,Sweden,23,1547.11
2023-07-20,Australia,27,1530.45
2023-07-20,Korea Republic,28,1529.3
2023-07-20,Austria,29,1528.06
2023-07-20,Scotland,30,1520.24
2023-07-20,Tunisia,31,1516.66
2023-07-20,Algeria,33,1511.23
2023-07-20,Egypt,34,1509.89
2023-07-20,Czechia,37,1503.69
2023-07-20,Ecuador,40,1486.47
2023-07-20,Türkiye,41,1484.47
2023-07-20,Canada,43,1458.58
2023-07-20,Norway,44,1458.47
2023-07-20,Panama,45,1453.94
2023-07-20,Paraguay,49,1442.64
2023-07-20,Côte d'Ivoire,52,1433.38
2023-07-20,Saudi Arabia,54,1421.46
2023-07-20,Qatar,59,1395.57
2023-07-20,Ghana,60,1391.13
2023-07-20,Bosnia and Herzegovina,62,1381.1
2023-07-20,South Africa,63,1368.25
2023-07-20,Cabo Verde,66,1354.65
2023-07-20,Congo DR,69,1350.11
2023-07-20,Iraq,70,1345.21
2023-07-20,Uzbekistan,74,1327.58
2023-07-20,Jordan,82,1296.26
2023-07-20,Haiti,87,1272.64
2023-07-20,Curaçao,88,1267.87
2023-09-21,Argentina,1,1851.41
2023-09-21,France,2,1840.76
2023-09-21,Brazil,3,1837.61
2023-09-21,England,4,1794.34
2023-09-21,Belgium,5,1792.64
2023-09-21,Croatia,6,1747.83
2023-09-21,Netherlands,7,1743.15
2023-09-21,Portugal,8,1728.58
2023-09-21,Spain,10,1710.72
2023-09-21,USA,11,1678.71
2023-09-21,Mexico,12,1661.46
2023-09-21,Morocco,13,1658.32
2023-09-21,Switzerland,14,1654.11
2023-09-21,Germany,15,1637.9
2023-09-21,Colombia,16,1629.6
2023-09-21,Uruguay,17,1626.51
2023-09-21,Japan,19,1605.2
2023-09-21,Senegal,20,1597.01
2023-09-21,IR Iran,21,1561.26
2023-09-21,Sweden,23,1538.84
2023-09-21,Austria,25,1537.36
2023-09-21,Korea Republic,26,1533.01
2023-09-21,Australia,27,1531.72
2023-09-21,Tunisia,29,1525.23
2023-09-21,Scotland,31,1522.67
2023-09-21,Algeria,34,1509.5
2023-09-21,Egypt,35,1508.93
2023-09-21,Czechia,37,1500.44
2023-09-21,Ecuador,38,1497.66
2023-09-21,Türkiye,42,1475.4
2023-09-21,Norway,43,1470.88
2023-09-21,Canada,44,1458.58
2023-09-21,Panama,45,1452.25
2023-09-21,Côte d'Ivoire,50,1437.89
2023-09-21,Paraguay,52,1432.08
2023-09-21,Saudi Arabia,57,1412.82
2023-09-21,Ghana,60,1400.0
2023-09-21,Qatar,61,1395.57
2023-09-21,Bosnia and Herzegovina,63,1370.37
2023-09-21,Congo DR,64,1369.59
2023-09-21,South Africa,65,1368.25
2023-09-21,Iraq,69,1347.38
2023-09-21,Cabo Verde,71,1337.29
2023-09-21,Uzbekistan,75,1328.35
2023-09-21,Jordan,84,1286.36
2023-09-21,Haiti,87,1270.76
2023-09-21,Curaçao,90,1259.4
2023-10-26,Argentina,1,1861.29
2023-10-26,France,2,1853.11
2023-10-26,Brazil,3,1812.2
2023-10-26,England,4,1807.88
2023-10-26,Belgium,5,1793.71
2023-10-26,Portugal,6,1739.83
2023-10-26,Netherlands,7,1739.26
2023-10-26,Spain,8,1725.97
2023-10-26,Croatia,10,1711.88
2023-10-26,USA,11,1675.89
2023-10-26,Mexico,12,1663.94
2023-10-26,Morocco,13,1658.49
2023-10-26,Switzerland,14,1645.38
2023-10-26,Uruguay,15,1643.72
2023-10-26,Germany,16,1643.49
2023-10-26,Colombia,17,1626.6
2023-10-26,Japan,18,1612.99
2023-10-26,Senegal,20,1600.82
2023-10-26,IR Iran,21,1567.3
2023-10-26,Sweden,23,1545.76
2023-10-26,Korea Republic,24,1540.35
2023-10-26,Austria,25,1535.41
2023-10-26,Australia,27,1531.25
2023-10-26,Tunisia,32,1516.14
2023-10-26,Algeria,33,1512.9
2023-10-26,Scotland,34,1512.34
2023-10-26,Egypt,35,1511.95
2023-10-26,Ecuador,36,1508.31
2023-10-26,Türkiye,38,1498.5
2023-10-26,Czechia,41,1489.72
2023-10-26,Norway,42,1469.56
2023-10-26,Panama,44,1461.09
2023-10-26,Canada,45,1454.95
2023-10-26,Côte d'Ivoire,52,1439.17
2023-10-26,Paraguay,53,1436.96
2023-10-26,Saudi Arabia,57,1408.85
2023-10-26,Ghana,60,1394.74
2023-10-26,Qatar,61,1394.16
2023-10-26,Bosnia and Herzegovina,63,1368.3
2023-10-26,South Africa,64,1366.35
2023-10-26,Congo DR,65,1366.18
2023-10-26,Iraq,68,1349.73
2023-10-26,Uzbekistan,73,1333.09
2023-10-26,Cabo Verde,74,1326.93
2023-10-26,Jordan,82,1284.39
2023-10-26,Haiti,88,1262.5
2023-10-26,Curaçao,89,1261.62
2023-11-30,Argentina,1,1855.2
2023-11-30,France,2,1845.44
2023-11-30,England,3,1800.05
2023-11-30,Belgium,4,1798.46
2023-11-30,Brazil,5,1784.09
2023-11-30,Netherlands,6,1745.48
2023-11-30,Portugal,7,1745.06
2023-11-30,Spain,8,1732.64
2023-11-30,Croatia,10,1717.57
2023-11-30,Uruguay,11,1665.99
2023-11-30,USA,12,1665.27
2023-11-30,Morocco,13,1661.69
2023-11-30,Mexico,14,1655.21
2023-11-30,Colombia,15,1651.2
2023-11-30,Germany,16,1631.22
2023-11-30,Japan,17,1620.19
2023-11-30,Switzerland,18,1613.44
2023-11-30,Senegal,20,1594.31
2023-11-30,IR Iran,21,1565.08
2023-11-30,Korea Republic,23,1550.65
2023-11-30,Austria,24,1546.1
2023-11-30,Australia,25,1539.22
2023-11-30,Sweden,26,1530.19
2023-11-30,Tunisia,28,1523.23
2023-11-30,Algeria,30,1520.26
2023-11-30,Ecuador,32,1519.2
2023-11-30,Egypt,33,1518.91
2023-11-30,Scotland,36,1506.89
2023-11-30,Türkiye,37,1505.28
2023-11-30,Czechia,39,1494.04
2023-11-30,Panama,41,1475.62
2023-11-30,Norway,44,1472.36
2023-11-30,Canada,48,1453.76
2023-11-30,Côte d'Ivoire,50,1447.65
2023-11-30,Paraguay,53,1430.73
2023-11-30,Saudi Arabia,56,1421.06
2023-11-30,Qatar,58,1407.3
2023-11-30,Ghana,61,1384.19
2023-11-30,Iraq,63,1365.98
2023-11-30,South Africa,66,1357.08
2023-11-30,Congo DR,67,1356.66
2023-11-30,Uzbekistan,68,1345.26
2023-11-30,Bosnia and Herzegovina,69,1343.32
2023-11-30,Cabo Verde,73,1329.8
2023-11-30,Jordan,87,1272.63
2023-11-30,Haiti,89,1262.5
2023-11-30,Curaçao,90,1262.48
2023-12-21,Argentina,1,1855.2
2023-12-21,France,2,1845.44
2023-12-21,England,3,1800.05
2023-12-21,Belgium,4,1798.46
2023-12-21,Brazil,5,1784.09
2023-12-21,Netherlands,6,1745.48
2023-12-21,Portugal,7,1745.06
2023-12-21,Spain,8,1732.64
2023-12-21,Croatia,10,1717.57
2023-12-21,Uruguay,11,1665.99
2023-12-21,USA,12,1665.27
2023-12-21,Morocco,13,1661.69
2023-12-21,Colombia,14,1655.29
2023-12-21,Mexico,15,1652.7
2023-12-21,Germany,16,1631.22
2023-12-21,Japan,17,1620.19
2023-12-21,Switzerland,18,1613.44
2023-12-21,Senegal,20,1594.31
2023-12-21,IR Iran,21,1565.08
2023-12-21,Korea Republic,23,1550.65
2023-12-21,Austria,24,1546.1
2023-12-21,Australia,25,1539.22
2023-12-21,Sweden,26,1530.19
2023-12-21,Tunisia,28,1523.23
2023-12-21,Algeria,30,1520.26
2023-12-21,Ecuador,32,1519.2
2023-12-21,Egypt,33,1518.91
2023-12-21,Scotland,36,1506.89
2023-12-21,Türkiye,37,1505.28
2023-12-21,Czechia,39,1494.04
2023-12-21,Panama,41,1475.62
2023-12-21,Norway,44,1472.36
2023-12-21,Canada,48,1453.76
2023-12-21,Côte d'Ivoire,49,1447.65
2023-12-21,Paraguay,53,1430.73
2023-12-21,Saudi Arabia,56,1421.06
2023-12-21,Qatar,58,1407.3
2023-12-21,Ghana,61,1384.19
2023-12-21,Iraq,63,1365.98
2023-12-21,South Africa,66,1357.08
2023-12-21,Congo DR,67,1356.66
2023-12-21,Uzbekistan,68,1345.26
2023-12-21,Bosnia and Herzegovina,69,1343.32
2023-12-21,Cabo Verde,73,1329.8
2023-12-21,Jordan,87,1272.63
2023-12-21,Haiti,89,1262.5
2023-12-21,Curaçao,90,1262.48
2024-02-15,Argentina,1,1855.2
2024-02-15,France,2,1845.44
2024-02-15,England,3,1800.05
2024-02-15,Belgium,4,1798.46
2024-02-15,Brazil,5,1784.09
2024-02-15,Netherlands,6,1745.48
2024-02-15,Portugal,7,1745.06
2024-02-15,Spain,8,1732.64
2024-02-15,Croatia,10,1717.57
2024-02-15,Uruguay,11,1665.99
2024-02-15,Morocco,12,1663.39
2024-02-15,USA,13,1661.7
2024-02-15,Colombia,14,1655.29
2024-02-15,Mexico,15,1652.7
2024-02-15,Germany,16,1631.22
2024-02-15,Senegal,17,1620.74
2024-02-15,Japan,18,1614.33
2024-02-15,Switzerland,19,1613.44
2024-02-15,IR Iran,20,1608.23
2024-02-15,Korea Republic,22,1566.21
2024-02-15,Australia,23,1554.82
2024-02-15,Austria,25,1546.1
2024-02-15,Sweden,26,1531.13
2024-02-15,Ecuador,31,1519.2
2024-02-15,Scotland,34,1506.89
2024-02-15,Türkiye,35,1505.28
2024-02-15,Egypt,36,1500.38
2024-02-15,Qatar,37,1499.34
2024-02-15,Côte d'Ivoire,39,1494.57
2024-02-15,Czechia,40,1494.04
2024-02-15,Tunisia,41,1491.15
2024-02-15,Algeria,43,1480.24
2024-02-15,Panama,44,1475.62
2024-02-15,Norway,46,1472.36
2024-02-15,Canada,50,1453.76
2024-02-15,Saudi Arabia,53,1441.4
2024-02-15,Paraguay,56,1430.73
2024-02-15,South Africa,58,1410.23
2024-02-15,Iraq,59,1409.44
2024-02-15,Congo DR,63,1388.25
2024-02-15,Cabo Verde,65,1377.06
2024-02-15,Uzbekistan,66,1376.5
2024-02-15,Ghana,67,1363.42
2024-02-15,Jordan,70,1343.6
2024-02-15,Bosnia and Herzegovina,71,1343.32
2024-02-15,Haiti,90,1262.5
2024-02-15,Curaçao,91,1262.48
2024-04-04,Argentina,1,1858.0
2024-04-04,France,2,1840.59
2024-04-04,Belgium,3,1795.23
2024-04-04,England,4,1794.9
2024-04-04,Brazil,5,1788.65
2024-04-04,Portugal,6,1748.11
2024-04-04,Netherlands,7,1742.29
2024-04-04,Spain,8,1727.5
2024-04-04,Croatia,10,1721.07
2024-04-04,USA,11,1681.13
2024-04-04,Colombia,12,1664.28
2024-04-04,Morocco,13,1661.42
2024-04-04,Mexico,14,1661.11
2024-04-04,Uruguay,15,1659.39
2024-04-04,Germany,16,1644.21
2024-04-04,Senegal,17,1624.73
2024-04-04,Japan,18,1621.88
2024-04-04,Switzerland,19,1616.41
2024-04-04,IR Iran,20,1613.96
2024-04-04,Korea Republic,23,1563.99
2024-04-04,Australia,24,1563.93
2024-04-04,Austria,25,1554.86
2024-04-04,Sweden,27,1531.68
2024-04-04,Ecuador,31,1518.22
2024-04-04,Qatar,34,1507.94
2024-04-04,Czechia,36,1501.47
2024-04-04,Egypt,37,1499.72
2024-04-04,Côte d'Ivoire,38,1498.8
2024-04-04,Scotland,39,1497.46
2024-04-04,Türkiye,40,1495.94
2024-04-04,Tunisia,41,1493.12
2024-04-04,Algeria,43,1482.71
2024-04-04,Panama,45,1475.62
2024-04-04,Norway,47,1467.51
2024-04-04,Canada,49,1461.16
2024-04-04,Saudi Arabia,53,1443.53
2024-04-04,Paraguay,56,1430.73
2024-04-04,Iraq,58,1420.47
2024-04-04,South Africa,59,1407.67
2024-04-04,Congo DR,63,1388.25
2024-04-04,Uzbekistan,64,1386.58
2024-04-04,Cabo Verde,65,1383.44
2024-04-04,Ghana,68,1358.77
2024-04-04,Jordan,71,1350.21
2024-04-04,Bosnia and Herzegovina,74,1335.6
2024-04-04,Haiti,90,1262.5
2024-04-04,Curaçao,91,1262.48
2024-06-20,Argentina,1,1860.14
2024-06-20,France,2,1837.47
2024-06-20,Belgium,3,1797.98
2024-06-20,Brazil,4,1791.85
2024-06-20,England,5,1787.88
2024-06-20,Portugal,6,1747.04
2024-06-20,Netherlands,7,1746.66
2024-06-20,Spain,8,1729.92
2024-06-20,Croatia,9,1728.3
2024-06-20,USA,11,1676.52
2024-06-20,Colombia,12,1669.44
2024-06-20,Morocco,12,1669.44
2024-06-20,Uruguay,14,1663.44
2024-06-20,Mexico,15,1652.33
2024-06-20,Germany,16,1646.78
2024-06-20,Japan,17,1628.81
2024-06-20,Senegal,18,1623.34
2024-06-20,Switzerland,19,1617.24
2024-06-20,IR Iran,20,1611.16
2024-06-20,Korea Republic,22,1572.87
2024-06-20,Australia,23,1571.29
2024-06-20,Austria,25,1560.03
2024-06-20,Sweden,28,1522.19
2024-06-20,Ecuador,30,1517.54
2024-06-20,Czechia,34,1506.23
2024-06-20,Qatar,35,1504.06
2024-06-20,Egypt,36,1502.34
2024-06-20,Côte d'Ivoire,37,1499.69
2024-06-20,Scotland,39,1497.18
2024-06-20,Tunisia,41,1494.06
2024-06-20,Türkiye,42,1493.38
2024-06-20,Panama,43,1482.1
2024-06-20,Algeria,44,1474.13
2024-06-20,Norway,46,1466.48
2024-06-20,Canada,48,1461.74
2024-06-20,Iraq,55,1433.07
2024-06-20,Saudi Arabia,56,1431.3
2024-06-20,Paraguay,58,1427.11
2024-06-20,South Africa,59,1416.66
2024-06-20,Congo DR,61,1400.93
2024-06-20,Uzbekistan,62,1397.41
2024-06-20,Ghana,64,1381.25
2024-06-20,Cabo Verde,65,1380.53
2024-06-20,Jordan,68,1374.13
2024-06-20,Bosnia and Herzegovina,75,1332.3
2024-06-20,Haiti,86,1274.46
2024-06-20,Curaçao,87,1272.71
2024-07-18,Argentina,1,1901.48
2024-07-18,France,2,1854.91
2024-07-18,Spain,3,1835.67
2024-07-18,England,4,1812.26
2024-07-18,Brazil,5,1785.61
2024-07-18,Belgium,6,1772.44
2024-07-18,Netherlands,7,1758.51
2024-07-18,Portugal,8,1741.43
2024-07-18,Colombia,9,1727.32
2024-07-18,Uruguay,11,1713.15
2024-07-18,Croatia,12,1701.31
2024-07-18,Germany,13,1686.02
2024-07-18,Morocco,14,1669.44
2024-07-18,Switzerland,15,1654.1
2024-07-18,USA,16,1641.75
2024-07-18,Mexico,17,1635.11
2024-07-18,Japan,18,1628.81
2024-07-18,Senegal,19,1623.34
2024-07-18,IR Iran,20,1611.16
2024-07-18,Austria,22,1591.56
2024-07-18,Korea Republic,23,1572.87
2024-07-18,Australia,24,1571.29
2024-07-18,Türkiye,26,1533.6
2024-07-18,Ecuador,27,1530.44
2024-07-18,Sweden,29,1522.19
2024-07-18,Qatar,34,1504.06
2024-07-18,Panama,35,1502.55
2024-07-18,Egypt,36,1502.34
2024-07-18,Côte d'Ivoire,38,1499.69
2024-07-18,Canada,40,1494.66
2024-07-18,Tunisia,41,1494.06
2024-07-18,Algeria,46,1474.13
2024-07-18,Czechia,47,1473.46
2024-07-18,Scotland,48,1472.3
2024-07-18,Norway,50,1466.48
2024-07-18,Iraq,55,1433.07
2024-07-18,Saudi Arabia,56,1431.3
2024-07-18,South Africa,57,1415.15
2024-07-18,Congo DR,60,1400.93
2024-07-18,Uzbekistan,61,1397.41
2024-07-18,Paraguay,62,1396.8
2024-07-18,Ghana,64,1381.25
2024-07-18,Cabo Verde,65,1380.53
2024-07-18,Jordan,68,1374.13
2024-07-18,Bosnia and Herzegovina,75,1332.3
2024-07-18,Haiti,85,1274.46
2024-07-18,Curaçao,86,1272.71
2024-09-19,Argentina,1,1889.02
2024-09-19,France,2,1851.92
2024-09-19,Spain,3,1836.42
2024-09-19,England,4,1817.28
2024-09-19,Brazil,5,1772.02
2024-09-19,Belgium,6,1768.14
2024-09-19,Netherlands,7,1759.95
2024-09-19,Portugal,8,1752.14
2024-09-19,Colombia,9,1738.72
2024-09-19,Uruguay,11,1701.34
2024-09-19,Croatia,12,1699.6
2024-09-19,Germany,13,1692.19
2024-09-19,Morocco,14,1676.14
2024-09-19,Switzerland,15,1641.0
2024-09-19,Japan,16,1639.6
2024-09-19,Mexico,17,1635.66
2024-09-19,USA,18,1632.19
2024-09-19,IR Iran,19,1622.92
2024-09-19,Senegal,21,1620.87
2024-09-19,Austria,22,1580.37
2024-09-19,Korea Republic,23,1572.61
2024-09-19,Australia,25,1544.3
2024-09-19,Türkiye,26,1538.52
2024-09-19,Ecuador,27,1535.43
2024-09-19,Sweden,28,1528.18
2024-09-19,Egypt,31,1515.64
2024-09-19,Côte d'Ivoire,33,1509.12
2024-09-19,Tunisia,36,1504.86
2024-09-19,Panama,37,1502.55
2024-09-19,Canada,38,1502.31
2024-09-19,Algeria,41,1486.03
2024-09-19,Qatar,44,1481.69
2024-09-19,Czechia,46,1473.19
2024-09-19,Norway,47,1472.16
2024-09-19,Scotland,52,1461.75
2024-09-19,Iraq,55,1435.9
2024-09-19,Saudi Arabia,56,1433.16
2024-09-19,Paraguay,57,1423.98
2024-09-19,Congo DR,58,1416.91
2024-09-19,South Africa,59,1415.07
2024-09-19,Uzbekistan,60,1413.06
2024-09-19,Cabo Verde,65,1379.17
2024-09-19,Jordan,68,1377.52
2024-09-19,Ghana,70,1360.43
2024-09-19,Bosnia and Herzegovina,75,1332.39
2024-09-19,Haiti,86,1278.56
2024-09-19,Curaçao,88,1261.38
2025-12-22,Spain,1,1877.18
2025-12-22,Argentina,2,1873.33
2025-12-22,France,3,1870.0
2025-12-22,England,4,1834.12
2025-12-22,Brazil,5,1760.46
2025-12-22,Portugal,6,1760.38
2025-12-22,Netherlands,7,1756.27
2025-12-22,Belgium,8,1730.71
2025-12-22,Germany,9,1724.15
2025-12-22,Croatia,10,1716.88
2025-12-22,Morocco,11,1716.34
2025-12-22,Colombia,13,1701.3
2025-12-22,USA,14,1681.88
2025-12-22,Mexico,15,1675.75
2025-12-22,Uruguay,16,1672.62
2025-12-22,Switzerland,17,1654.69
2025-12-22,Japan,18,1650.12
2025-12-22,Senegal,19,1648.07
2025-12-22,IR Iran,20,1617.02
2025-12-22,Korea Republic,22,1599.45
2025-12-22,Ecuador,23,1591.73
2025-12-22,Austria,24,1585.51
2025-12-22,Türkiye,25,1582.69
2025-12-22,Australia,26,1574.01
2025-12-22,Canada,27,1559.15
2025-12-22,Norway,29,1553.14
2025-12-22,Panama,30,1540.43
2025-12-22,Algeria,34,1517.68
2025-12-22,Egypt,35,1515.18
2025-12-22,Scotland,36,1506.77
2025-12-22,Paraguay,39,1501.5
2025-12-22,Tunisia,41,1494.86
2025-12-22,Côte d'Ivoire,42,1489.59
2025-12-22,Sweden,43,1487.13
2025-12-22,Czechia,44,1487.0
2025-12-22,Uzbekistan,50,1462.03
2025-12-22,Qatar,54,1454.96
2025-12-22,Congo DR,56,1444.16
2025-12-22,Iraq,58,1436.94
2025-12-22,Saudi Arabia,60,1429.48
2025-12-22,South Africa,61,1426.73
2025-12-22,Jordan,64,1388.93
2025-12-22,Cabo Verde,67,1370.49
2025-12-22,Bosnia and Herzegovina,71,1362.37
2025-12-22,Ghana,72,1351.09
2025-12-22,Curaçao,82,1302.7
2025-12-22,Haiti,84,1294.49
2025-12-22,New Zealand,87,1279.25
2026-01-19,Spain,1,1877.18
2026-01-19,Argentina,2,1873.33
2026-01-19,France,3,1870.0
2026-01-19,England,4,1834.12
2026-01-19,Brazil,5,1760.46
2026-01-19,Portugal,6,1760.38
2026-01-19,Netherlands,7,1756.27
2026-01-19,Morocco,8,1736.57
2026-01-19,Belgium,9,1730.71
2026-01-19,Germany,10,1724.15
2026-01-19,Croatia,11,1716.88
2026-01-19,Senegal,12,1706.83
2026-01-19,Colombia,14,1701.3
2026-01-19,USA,15,1681.88
2026-01-19,Mexico,16,1675.75
2026-01-19,Uruguay,17,1672.62
2026-01-19,Switzerland,18,1654.69
2026-01-19,Japan,19,1650.12
2026-01-19,IR Iran,20,1617.02
2026-01-19,Korea Republic,22,1599.45
2026-01-19,Ecuador,23,1591.73
2026-01-19,Austria,24,1585.51
2026-01-19,Türkiye,25,1582.69
2026-01-19,Australia,27,1574.01
2026-01-19,Algeria,28,1560.91
2026-01-19,Canada,29,1559.15
2026-01-19,Egypt,31,1556.71
2026-01-19,Norway,32,1553.14
2026-01-19,Panama,33,1539.47
2026-01-19,Côte d'Ivoire,37,1522.48
2026-01-19,Scotland,38,1506.77
2026-01-19,Paraguay,40,1501.5
2026-01-19,Sweden,42,1487.13
2026-01-19,Czechia,43,1487.0
2026-01-19,Tunisia,47,1479.04
2026-01-19,Congo DR,48,1468.22
2026-01-19,Uzbekistan,52,1462.03
2026-01-19,Qatar,56,1454.96
2026-01-19,Iraq,58,1436.94
2026-01-19,South Africa,60,1432.76
2026-01-19,Saudi Arabia,61,1429.48
2026-01-19,Jordan,64,1388.93
2026-01-19,Cabo Verde,67,1370.49
2026-01-19,Bosnia and Herzegovina,71,1362.37
2026-01-19,Ghana,72,1351.09
2026-01-19,Curaçao,81,1302.7
2026-01-19,Haiti,83,1294.49
2026-01-19,New Zealand,85,1279.25
2026-04-01,France,1,1877.32
2026-04-01,Spain,2,1876.4
2026-04-01,Argentina,3,1874.81
2026-04-01,England,4,1825.97
2026-04-01,Portugal,5,1763.83
2026-04-01,Brazil,6,1761.16
2026-04-01,Netherlands,7,1757.87
2026-04-01,Morocco,8,1755.87
2026-04-01,Belgium,9,1734.71
2026-04-01,Germany,10,1730.37
2026-04-01,Croatia,11,1717.07
2026-04-01,Colombia,13,1693.09
2026-04-01,Senegal,14,1688.99
2026-04-01,Mexico,15,1681.03
2026-04-01,USA,16,1673.13
2026-04-01,Uruguay,17,1673.07
2026-04-01,Japan,18,1660.43
2026-04-01,Switzerland,19,1649.4
2026-04-01,IR Iran,21,1615.3
2026-04-01,Türkiye,22,1599.04
2026-04-01,Ecuador,23,1594.78
2026-04-01,Austria,24,1593.45
2026-04-01,Korea Republic,25,1588.66
2026-04-01,Australia,27,1580.67
2026-04-01,Algeria,28,1564.26
2026-04-01,Egypt,29,1563.24
2026-04-01,Canada,30,1556.48
2026-04-01,Norway,31,1550.94
2026-04-01,Panama,33,1540.64
2026-04-01,Côte d'Ivoire,34,1532.98
2026-04-01,Sweden,38,1514.77
2026-04-01,Paraguay,40,1503.5
2026-04-01,Czechia,41,1501.38
2026-04-01,Scotland,43,1498.35
2026-04-01,Tunisia,44,1483.05
2026-04-01,Congo DR,46,1478.35
2026-04-01,Uzbekistan,50,1465.34
2026-04-01,Qatar,55,1454.96
2026-04-01,Iraq,57,1447.14
2026-04-01,South Africa,60,1429.73
2026-04-01,Saudi Arabia,61,1421.43
2026-04-01,Jordan,63,1391.45
2026-04-01,Bosnia and Herzegovina,65,1385.84
2026-04-01,Cabo Verde,69,1366.13
2026-04-01,Ghana,74,1346.31
2026-04-01,Curaçao,82,1294.65
2026-04-01,Haiti,83,1291.71
2026-04-01,New Zealand,85,1281.57
