date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2021-03-25,Japan,South Korea,3,0,Friendly,Yokohama,Japan,FALSE
2021-03-25,Kenya,Egypt,1,1,African Cup of Nations qualification,Nairobi,Kenya,FALSE
2021-03-25,Libya,Tunisia,2,5,African Cup of Nations qualification,Benina,Libya,FALSE
2021-03-25,Panama,Barbados,1,0,FIFA World Cup qualification,Santo Domingo,Dominican Republic,TRUE
2021-03-25,Saudi Arabia,Kuwait,1,0,Friendly,Riyadh,Saudi Arabia,FALSE
2021-03-25,Scotland,Austria,2,2,FIFA World Cup qualification,Glasgow,Scotland,FALSE
2021-03-25,South Africa,Ghana,1,1,African Cup of Nations qualification,Johannesburg,South Africa,FALSE
2021-03-25,Spain,Greece,1,1,FIFA World Cup qualification,Granada,Spain,FALSE
2021-03-25,Sweden,Georgia,1,0,FIFA World Cup qualification,Stockholm,Sweden,FALSE
2021-03-25,United States,Jamaica,4,1,Friendly,Wiener Neustadt,Austria,TRUE
2021-03-25,Zambia,Algeria,3,3,African Cup of Nations qualification,Lusaka,Zambia,FALSE
2021-03-26,Cape Verde,Cameroon,3,1,African Cup of Nations qualification,Praia,Cape Verde,FALSE
2021-03-26,Congo,Senegal,0,0,African Cup of Nations qualification,Brazzaville,Congo,FALSE
2021-03-26,Mauritania,Morocco,0,0,African Cup of Nations qualification,Nouakchott,Mauritania,FALSE
2021-03-26,Niger,Ivory Coast,0,3,African Cup of Nations qualification,Lomé,Togo,TRUE
2021-03-27,Bosnia and Herzegovina,Costa Rica,0,0,Friendly,Zenica,Bosnia and Herzegovina,FALSE
2021-03-27,Croatia,Cyprus,1,0,FIFA World Cup qualification,Rijeka,Croatia,FALSE
2021-03-27,Czech Republic,Belgium,1,1,FIFA World Cup qualification,Prague,Czech Republic,FALSE
2021-03-27,Netherlands,Latvia,2,0,FIFA World Cup qualification,Amsterdam,Netherlands,FALSE
2021-03-27,Norway,Turkey,0,3,FIFA World Cup qualification,Málaga,Spain,TRUE
2021-03-27,Qatar,Azerbaijan,2,1,Friendly,Debrecen,Hungary,TRUE
2021-03-27,Serbia,Portugal,2,2,FIFA World Cup qualification,Belgrade,Serbia,FALSE
2021-03-27,Wales,Mexico,1,0,Friendly,Cardiff,Wales,FALSE
2021-03-28,Albania,England,0,2,FIFA World Cup qualification,Tirana,Albania,FALSE
2021-03-28,Austria,Faroe Islands,3,1,FIFA World Cup qualification,Vienna,Austria,FALSE
2021-03-28,Cuba,Curaçao,1,2,FIFA World Cup qualification,Guatemala City,Guatemala,TRUE
2021-03-28,Dominica,Panama,1,2,FIFA World Cup qualification,Santo Domingo,Dominican Republic,TRUE
2021-03-28,Georgia,Spain,1,2,FIFA World Cup qualification,Tbilisi,Georgia,FALSE
2021-03-28,Ghana,São Tomé and Príncipe,3,1,African Cup of Nations qualification,Cape Coast,Ghana,FALSE
2021-03-28,Israel,Scotland,1,1,FIFA World Cup qualification,Tel Aviv,Israel,FALSE
2021-03-28,Kazakhstan,France,0,2,FIFA World Cup qualification,Nur-Sultan,Kazakhstan,FALSE
2021-03-28,Kosovo,Sweden,0,3,FIFA World Cup qualification,Pristina,Kosovo,FALSE
2021-03-28,Northern Ireland,United States,1,2,Friendly,Belfast,Northern Ireland,FALSE
2021-03-28,Romania,Germany,0,1,FIFA World Cup qualification,Bucharest,Romania,FALSE
2021-03-28,Sudan,South Africa,2,0,African Cup of Nations qualification,Omdurman,Sudan,FALSE
2021-03-28,Switzerland,Lithuania,1,0,FIFA World Cup qualification,St. Gallen,Switzerland,FALSE
2021-03-28,Tunisia,Equatorial Guinea,2,1,African Cup of Nations qualification,Radès,Tunisia,FALSE
2021-03-29,Algeria,Botswana,5,0,African Cup of Nations qualification,Algiers,Algeria,FALSE
2021-03-29,Cayman Islands,Canada,0,11,FIFA World Cup qualification,Bradenton,United States,TRUE
2021-03-29,DR Congo,Gambia,1,0,African Cup of Nations qualification,Kinshasa,DR Congo,FALSE
2021-03-29,Ecuador,Bolivia,2,1,Friendly,Guayaquil,Ecuador,FALSE
2021-03-29,Egypt,Comoros,4,0,African Cup of Nations qualification,Cairo,Egypt,FALSE
2021-03-29,Uzbekistan,Iraq,0,1,Friendly,Tashkent,Uzbekistan,FALSE
2021-03-30,Bahrain,Jordan,1,2,Friendly,Riffa,Bahrain,FALSE
2021-03-30,Belgium,Belarus,8,0,FIFA World Cup qualification,Leuven,Belgium,FALSE
2021-03-30,Costa Rica,Mexico,0,1,Friendly,Wiener Neustadt,Austria,TRUE
2021-03-30,Croatia,Malta,3,0,FIFA World Cup qualification,Rijeka,Croatia,FALSE
2021-03-30,Gibraltar,Netherlands,0,7,FIFA World Cup qualification,Gibraltar,Gibraltar,FALSE
2021-03-30,Iran,Syria,3,0,Friendly,Tehran,Iran,FALSE
2021-03-30,Ivory Coast,Ethiopia,3,1,African Cup of Nations qualification,Abidjan,Ivory Coast,FALSE
2021-03-30,Japan,Mongolia,14,0,FIFA World Cup qualification,Chiba,Japan,FALSE
2021-03-30,Luxembourg,Portugal,1,3,FIFA World Cup qualification,Luxembourg,Luxembourg,FALSE
2021-03-30,Montenegro,Norway,0,1,FIFA World Cup qualification,Podgorica,Montenegro,FALSE
2021-03-30,Morocco,Burundi,1,0,African Cup of Nations qualification,Rabat,Morocco,FALSE
2021-03-30,Mozambique,Cape Verde,0,1,African Cup of Nations qualification,Maputo,Mozambique,FALSE
2021-03-30,Republic of Ireland,Qatar,1,1,Friendly,Debrecen,Hungary,TRUE
2021-03-30,Saudi Arabia,Palestine,5,0,FIFA World Cup qualification,Riyadh,Saudi Arabia,FALSE
2021-03-30,Senegal,Eswatini,1,1,African Cup of Nations qualification,Thiès,Senegal,FALSE
2021-03-30,Turkey,Latvia,3,3,FIFA World Cup qualification,Istanbul,Turkey,FALSE
2021-03-30,Wales,Czech Republic,1,0,FIFA World Cup qualification,Cardiff,Wales,FALSE
2021-03-31,Austria,Denmark,0,4,FIFA World Cup qualification,Vienna,Austria,FALSE
2021-03-31,Bosnia and Herzegovina,France,0,1,FIFA World Cup qualification,Sarajevo,Bosnia and Herzegovina,FALSE
2021-03-31,England,Poland,2,1,FIFA World Cup qualification,London,England,FALSE
2021-03-31,Germany,North Macedonia,1,2,FIFA World Cup qualification,Duisburg,Germany,FALSE
2021-03-31,Scotland,Faroe Islands,4,0,FIFA World Cup qualification,Glasgow,Scotland,FALSE
2021-03-31,Spain,Kosovo,3,1,FIFA World Cup qualification,Seville,Spain,FALSE
2021-03-31,Sweden,Estonia,1,0,Friendly,Stockholm,Sweden,FALSE
2021-03-31,Switzerland,Finland,3,2,Friendly,St. Gallen,Switzerland,FALSE
2021-05-24,Iraq,Tajikistan,0,0,Friendly,Basra,Iraq,FALSE
2021-05-24,United Arab Emirates,Jordan,5,1,Friendly,Dubai,United Arab Emirates,FALSE
2021-05-27,Turkey,Azerbaijan,2,1,Friendly,Alanya,Turkey,FALSE
2021-05-28,Japan,Myanmar,10,0,FIFA World Cup qualification,Chiba,Japan,FALSE
2021-05-29,Iraq,Nepal,6,2,Friendly,Basra,Iraq,FALSE
2021-05-29,Mexico,Iceland,2,1,Friendly,Arlington,United States,TRUE
2021-05-29,Sweden,Finland,2,0,Friendly,Stockholm,Sweden,FALSE
2021-05-30,Switzerland,United States,2,1,Friendly,St. Gallen,Switzerland,FALSE
2021-05-31,Jordan,Vietnam,1,1,Friendly,Sharjah,United Arab Emirates,TRUE
2021-05-31,Turkey,Guinea,0,0,Friendly,Antalya,Turkey,FALSE
2021-06-01,Croatia,Armenia,1,1,Friendly,Velika Gorica,Croatia,FALSE
2021-06-02,Bosnia and Herzegovina,Montenegro,0,0,Friendly,Sarajevo,Bosnia and Herzegovina,FALSE
2021-06-02,England,Austria,1,0,Friendly,London,England,FALSE
2021-06-02,France,Wales,3,0,Friendly,Nice,France,FALSE
2021-06-02,Germany,Denmark,1,1,Friendly,Innsbruck,Austria,TRUE
2021-06-02,Netherlands,Scotland,2,2,Friendly,São João da Venda,Portugal,TRUE
2021-06-02,Norway,Luxembourg,1,0,Friendly,Málaga,Spain,TRUE
2021-06-03,Algeria,Mauritania,4,1,Friendly,Blida,Algeria,FALSE
2021-06-03,Argentina,Chile,1,1,FIFA World Cup qualification,Santiago del Estero,Argentina,FALSE
2021-06-03,Belgium,Greece,1,1,Friendly,Brussels,Belgium,FALSE
2021-06-03,Iran,Hong Kong,3,1,FIFA World Cup qualification,Arad,Iran,FALSE
2021-06-03,Kuwait,Australia,0,3,FIFA World Cup qualification,Kuwait City,Kuwait,FALSE
2021-06-03,Mexico,Costa Rica,0,0,CONCACAF Nations League,Denver,United States,TRUE
2021-06-03,Peru,Colombia,0,3,FIFA World Cup qualification,Lima,Peru,FALSE
2021-06-03,Qatar,India,1,0,FIFA World Cup qualification,Doha,Qatar,FALSE
2021-06-03,Switzerland,Liechtenstein,7,0,Friendly,St. Gallen,Switzerland,FALSE
2021-06-03,Turkey,Moldova,2,0,Friendly,Paderborn,Germany,TRUE
2021-06-03,United States,Honduras,1,0,CONCACAF Nations League,Denver,United States,FALSE
2021-06-03,Uruguay,Paraguay,0,0,FIFA World Cup qualification,Montevideo,Uruguay,FALSE
2021-06-04,Brazil,Ecuador,2,0,FIFA World Cup qualification,Porto Alegre,Brazil,FALSE
2021-06-04,Italy,Czech Republic,4,0,Friendly,Bologna,Italy,FALSE
2021-06-04,Spain,Portugal,0,0,Friendly,Madrid,Spain,FALSE
2021-06-05,Aruba,Canada,0,7,FIFA World Cup qualification,Bradenton,United States,TRUE
2021-06-05,British Virgin Islands,Curaçao,0,8,FIFA World Cup qualification,Guatemala City,Guatemala,TRUE
2021-06-05,Ivory Coast,Burkina Faso,2,1,Friendly,Abidjan,Ivory Coast,FALSE
2021-06-05,Panama,Anguilla,13,0,FIFA World Cup qualification,Panama City,Panama,FALSE
2021-06-05,Saudi Arabia,Yemen,3,0,FIFA World Cup qualification,Riyadh,Saudi Arabia,FALSE
2021-06-05,Senegal,Zambia,3,1,Friendly,Thiès,Senegal,FALSE
2021-06-05,South Korea,Turkmenistan,5,0,FIFA World Cup qualification,Goyang,South Korea,FALSE
2021-06-05,Sweden,Armenia,3,1,Friendly,Stockholm,Sweden,FALSE
2021-06-05,Tunisia,DR Congo,1,0,Friendly,Radès,Tunisia,FALSE
2021-06-05,Turks and Caicos Islands,Haiti,0,10,FIFA World Cup qualification,Providenciales,Turks and Caicos Islands,FALSE
2021-06-06,Algeria,Mali,1,0,Friendly,Blida,Algeria,FALSE
2021-06-06,Austria,Slovakia,0,0,Friendly,Vienna,Austria,FALSE
2021-06-06,Belgium,Croatia,1,0,Friendly,Brussels,Belgium,FALSE
2021-06-06,Denmark,Bosnia and Herzegovina,2,0,Friendly,Brondbyvester,Denmark,FALSE
2021-06-06,England,Romania,1,0,Friendly,London,England,FALSE
2021-06-06,Luxembourg,Scotland,0,1,Friendly,Luxembourg,Luxembourg,FALSE
2021-06-06,Netherlands,Georgia,3,0,Friendly,Enschede,Netherlands,FALSE
2021-06-06,Norway,Greece,1,2,Friendly,Málaga,Spain,TRUE
2021-06-06,United States,Mexico,3,2,CONCACAF Nations League,Denver,United States,FALSE
2021-06-07,Australia,Taiwan,5,1,FIFA World Cup qualification,Kuwait City,Kuwait,TRUE
2021-06-07,Bahrain,Iran,0,3,FIFA World Cup qualification,Riffa,Bahrain,FALSE
2021-06-07,Germany,Latvia,7,1,Friendly,Düsseldorf,Germany,FALSE
2021-06-07,Iraq,Cambodia,4,1,FIFA World Cup qualification,Arad,Iran,TRUE
2021-06-07,Japan,Tajikistan,4,1,FIFA World Cup qualification,Suita,Japan,FALSE
2021-06-07,Nepal,Jordan,0,3,FIFA World Cup qualification,Kuwait City,Kuwait,TRUE
2021-06-07,Qatar,Oman,1,0,FIFA World Cup qualification,Doha,Qatar,FALSE
2021-06-07,Uzbekistan,Singapore,5,0,FIFA World Cup qualification,Riyadh,Saudi Arabia,TRUE
2021-06-08,Canada,Suriname,4,0,FIFA World Cup qualification,Bridgeview,United States,TRUE
2021-06-08,Colombia,Argentina,2,2,FIFA World Cup qualification,Barranquilla,Colombia,FALSE
2021-06-08,Curaçao,Guatemala,0,0,FIFA World Cup qualification,Willemstad,Curaçao,FALSE
2021-06-08,Czech Republic,Albania,3,1,Friendly,Prague,Czech Republic,FALSE
2021-06-08,Ecuador,Peru,1,2,FIFA World Cup qualification,Quito,Ecuador,FALSE
2021-06-08,France,Bulgaria,3,0,Friendly,Paris,France,FALSE
2021-06-08,Haiti,Nicaragua,1,0,FIFA World Cup qualification,Port-au-Prince,Haiti,FALSE
2021-06-08,Morocco,Ghana,1,0,Friendly,Rabat,Morocco,FALSE
2021-06-08,Panama,Dominican Republic,3,0,FIFA World Cup qualification,Panama City,Panama,FALSE
2021-06-08,Paraguay,Brazil,0,2,FIFA World Cup qualification,Asunción,Paraguay,FALSE
2021-06-08,Senegal,Cape Verde,2,0,Friendly,Thiès,Senegal,FALSE
2021-06-08,Spain,Lithuania,4,0,Friendly,Leganés,Spain,FALSE
2021-06-08,Venezuela,Uruguay,0,0,FIFA World Cup qualification,Caracas,Venezuela,FALSE
2021-06-09,Portugal,Israel,4,0,Friendly,Lisbon,Portugal,FALSE
2021-06-09,South Korea,Sri Lanka,5,0,FIFA World Cup qualification,Goyang,South Korea,FALSE
2021-06-09,United States,Costa Rica,4,0,Friendly,Sandy,United States,FALSE
2021-06-10,South Africa,Uganda,3,2,Friendly,Johannesburg,South Africa,FALSE
2021-06-11,Cambodia,Iran,0,10,FIFA World Cup qualification,Isa Town,Bahrain,TRUE
2021-06-11,DR Congo,Mali,1,1,Friendly,Radès,Tunisia,TRUE
2021-06-11,Hong Kong,Iraq,0,1,FIFA World Cup qualification,Arad,Iran,TRUE
2021-06-11,Italy,Turkey,3,0,UEFA Euro,Rome,Italy,FALSE
2021-06-11,Japan,Serbia,1,0,Kirin Challenge Cup,Kobe,Japan,FALSE
2021-06-11,Kuwait,Jordan,0,0,FIFA World Cup qualification,Kuwait City,Kuwait,FALSE
2021-06-11,Nepal,Australia,0,3,FIFA World Cup qualification,Kuwait City,Kuwait,TRUE
2021-06-11,Saudi Arabia,Singapore,3,0,FIFA World Cup qualification,Riyadh,Saudi Arabia,FALSE
2021-06-11,Tunisia,Algeria,0,2,Friendly,Radès,Tunisia,FALSE
2021-06-11,Yemen,Uzbekistan,0,1,FIFA World Cup qualification,Riyadh,Saudi Arabia,TRUE
2021-06-12,Ghana,Ivory Coast,0,0,Friendly,Cape Coast,Ghana,FALSE
2021-06-12,Haiti,Canada,0,1,FIFA World Cup qualification,Port-au-Prince,Haiti,FALSE
2021-06-12,Mexico,Honduras,0,0,Friendly,Atlanta,United States,TRUE
2021-06-12,Morocco,Burkina Faso,1,0,Friendly,Rabat,Morocco,FALSE
2021-06-12,Panama,Curaçao,2,1,FIFA World Cup qualification,Panama City,Panama,FALSE
2021-06-12,Russia,Belgium,0,3,UEFA Euro,Saint Petersburg,Russia,FALSE
2021-06-12,Wales,Switzerland,1,1,UEFA Euro,Cardiff,Wales,FALSE
2021-06-13,Austria,North Macedonia,3,1,UEFA Euro,Bucharest,Romania,TRUE
2021-06-13,Brazil,Venezuela,3,0,Copa América,Brasília,Brazil,FALSE
2021-06-13,Colombia,Ecuador,1,0,Copa América,Cuiabá,Brazil,TRUE
2021-06-13,England,Croatia,1,0,UEFA Euro,London,England,FALSE
2021-06-13,Netherlands,Ukraine,3,2,UEFA Euro,Amsterdam,Netherlands,FALSE
2021-06-13,South Korea,Lebanon,2,1,FIFA World Cup qualification,Goyang,South Korea,FALSE
2021-06-14,Argentina,Chile,1,1,Copa América,Rio de Janeiro,Brazil,TRUE
2021-06-14,Paraguay,Bolivia,3,1,Copa América,Goiânia,Brazil,TRUE
2021-06-14,Scotland,Czech Republic,0,2,UEFA Euro,Glasgow,Scotland,FALSE
2021-06-14,Spain,Sweden,0,0,UEFA Euro,Seville,Spain,FALSE
2021-06-15,Australia,Jordan,1,0,FIFA World Cup qualification,Kuwait City,Kuwait,TRUE
2021-06-15,Canada,Haiti,3,0,FIFA World Cup qualification,Bridgeview,United States,TRUE
2021-06-15,Curaçao,Panama,0,0,FIFA World Cup qualification,Willemstad,Curaçao,FALSE
2021-06-15,Germany,France,0,1,UEFA Euro,Munich,Germany,FALSE
2021-06-15,Hungary,Portugal,0,3,UEFA Euro,Budapest,Hungary,FALSE
2021-06-15,Iran,Iraq,1,0,FIFA World Cup qualification,Arad,Iran,FALSE
2021-06-15,Japan,Kyrgyzstan,5,1,FIFA World Cup qualification,Suita,Japan,FALSE
2021-06-15,Saudi Arabia,Uzbekistan,3,0,FIFA World Cup qualification,Riyadh,Saudi Arabia,FALSE
2021-06-15,Tunisia,Mali,1,0,Friendly,Radès,Tunisia,FALSE
2021-06-16,Italy,Switzerland,3,0,UEFA Euro,Rome,Italy,FALSE
2021-06-16,Turkey,Wales,0,2,UEFA Euro,Baku,Azerbaijan,TRUE
2021-06-17,Algeria,Liberia,5,1,Friendly,Oran,Algeria,FALSE
2021-06-17,Brazil,Peru,4,0,Copa América,Rio de Janeiro,Brazil,FALSE
2021-06-17,Colombia,Venezuela,0,0,Copa América,Goiânia,Brazil,TRUE
2021-06-17,Denmark,Belgium,1,2,UEFA Euro,Copenhagen,Denmark,FALSE
2021-06-17,Netherlands,Austria,2,0,UEFA Euro,Amsterdam,Netherlands,FALSE
2021-06-18,Argentina,Uruguay,1,0,Copa América,Brasília,Brazil,TRUE
2021-06-18,Croatia,Czech Republic,1,1,UEFA Euro,Glasgow,Scotland,TRUE
2021-06-18,England,Scotland,0,0,UEFA Euro,London,England,FALSE
2021-06-18,Sweden,Slovakia,1,0,UEFA Euro,Saint Petersburg,Russia,TRUE
2021-06-19,Germany,Portugal,4,2,UEFA Euro,Munich,Germany,FALSE
2021-06-19,Hungary,France,1,1,UEFA Euro,Budapest,Hungary,FALSE
2021-06-19,Spain,Poland,1,1,UEFA Euro,Seville,Spain,FALSE
2021-06-20,Colombia,Peru,1,2,Copa América,Goiânia,Brazil,TRUE
2021-06-20,Switzerland,Turkey,3,1,UEFA Euro,Baku,Azerbaijan,TRUE
2021-06-20,Venezuela,Ecuador,2,2,Copa América,Rio de Janeiro,Brazil,TRUE
2021-06-21,Argentina,Paraguay,1,0,Copa América,Brasília,Brazil,TRUE
2021-06-21,Finland,Belgium,0,2,UEFA Euro,Saint Petersburg,Russia,TRUE
2021-06-21,Netherlands,North Macedonia,3,0,UEFA Euro,Amsterdam,Netherlands,FALSE
2021-06-21,Ukraine,Austria,0,1,UEFA Euro,Bucharest,Romania,TRUE
2021-06-21,Uruguay,Chile,1,1,Copa América,Cuiabá,Brazil,TRUE
2021-06-22,England,Czech Republic,1,0,UEFA Euro,London,England,FALSE
2021-06-22,Scotland,Croatia,1,3,UEFA Euro,Glasgow,Scotland,FALSE
2021-06-23,Brazil,Colombia,2,1,Copa América,Rio de Janeiro,Brazil,FALSE
2021-06-23,Ecuador,Peru,2,2,Copa América,Goiânia,Brazil,TRUE
2021-06-23,Germany,Hungary,2,2,UEFA Euro,Munich,Germany,FALSE
2021-06-23,Portugal,France,2,2,UEFA Euro,Budapest,Hungary,TRUE
2021-06-23,Spain,Slovakia,5,0,UEFA Euro,Seville,Spain,FALSE
2021-06-23,Sweden,Poland,3,2,UEFA Euro,Saint Petersburg,Russia,TRUE
2021-06-24,Bolivia,Uruguay,0,2,Copa América,Cuiabá,Brazil,TRUE
2021-06-24,Chile,Paraguay,0,2,Copa América,Brasília,Brazil,TRUE
2021-06-26,Italy,Austria,2,1,UEFA Euro,London,England,TRUE
2021-06-27,Belgium,Portugal,1,0,UEFA Euro,Seville,Spain,TRUE
2021-06-27,Brazil,Ecuador,1,1,Copa América,Goiânia,Brazil,FALSE
2021-06-27,Netherlands,Czech Republic,0,2,UEFA Euro,Budapest,Hungary,TRUE
2021-06-28,Argentina,Bolivia,4,1,Copa América,Cuiabá,Brazil,TRUE
2021-06-28,Croatia,Spain,3,5,UEFA Euro,Copenhagen,Denmark,TRUE
2021-06-28,France,Switzerland,3,3,UEFA Euro,Bucharest,Romania,TRUE
2021-06-28,Uruguay,Paraguay,1,0,Copa América,Rio de Janeiro,Brazil,TRUE
2021-06-29,England,Germany,2,0,UEFA Euro,London,England,FALSE
2021-06-29,Sweden,Ukraine,1,2,UEFA Euro,Glasgow,Scotland,TRUE
2021-06-30,Mexico,Panama,3,0,Friendly,Nashville,United States,TRUE
2021-07-02,Belgium,Italy,1,2,UEFA Euro,Munich,Germany,TRUE
2021-07-02,Brazil,Chile,1,0,Copa América,Rio de Janeiro,Brazil,FALSE
2021-07-02,Haiti,Saint Vincent and the Grenadines,6,1,Gold Cup qualification,Fort Lauderdale,United States,TRUE
2021-07-02,Peru,Paraguay,3,3,Copa América,Goiânia,Brazil,TRUE
2021-07-02,Switzerland,Spain,1,1,UEFA Euro,Saint Petersburg,Russia,TRUE
2021-07-03,Argentina,Ecuador,3,0,Copa América,Goiânia,Brazil,TRUE
2021-07-03,Czech Republic,Denmark,1,2,UEFA Euro,Baku,Azerbaijan,TRUE
2021-07-03,Mexico,Nigeria,4,0,Friendly,Nashville,United States,TRUE
2021-07-03,Ukraine,England,0,4,UEFA Euro,Rome,Italy,TRUE
2021-07-03,Uruguay,Colombia,0,0,Copa América,Brasília,Brazil,TRUE
2021-07-04,Qatar,El Salvador,1,0,Friendly,Pula,Croatia,TRUE
2021-07-05,Brazil,Peru,1,0,Copa América,Rio de Janeiro,Brazil,FALSE
2021-07-06,Argentina,Colombia,1,1,Copa América,Brasília,Brazil,TRUE
2021-07-06,Haiti,Bermuda,4,1,Gold Cup qualification,Fort Lauderdale,United States,TRUE
2021-07-06,Italy,Spain,1,1,UEFA Euro,London,England,TRUE
2021-07-06,South Africa,Botswana,1,0,COSAFA Cup,Port Elizabeth,South Africa,FALSE
2021-07-07,England,Denmark,2,1,UEFA Euro,London,England,FALSE
2021-07-07,Senegal,Namibia,1,2,COSAFA Cup,Port Elizabeth,South Africa,TRUE
2021-07-08,South Africa,Eswatini,1,0,COSAFA Cup,Port Elizabeth,South Africa,FALSE
2021-07-09,Peru,Colombia,2,3,Copa América,Brasília,Brazil,TRUE
2021-07-09,Senegal,Mozambique,1,0,COSAFA Cup,Port Elizabeth,South Africa,TRUE
2021-07-10,Brazil,Argentina,0,1,Copa América,Rio de Janeiro,Brazil,FALSE
2021-07-10,Mexico,Trinidad and Tobago,0,0,Gold Cup,Arlington,United States,TRUE
2021-07-11,Canada,Martinique,4,1,Gold Cup,Kansas City,United States,TRUE
2021-07-11,England,Italy,1,1,UEFA Euro,London,England,FALSE
2021-07-11,United States,Haiti,1,0,Gold Cup,Kansas City,United States,FALSE
2021-07-13,Qatar,Panama,3,3,Gold Cup,Houston,United States,TRUE
2021-07-13,Senegal,Zimbabwe,2,1,COSAFA Cup,Port Elizabeth,South Africa,TRUE
2021-07-13,South Africa,Lesotho,4,0,COSAFA Cup,Port Elizabeth,South Africa,FALSE
2021-07-14,Guatemala,Mexico,0,3,Gold Cup,Dallas,United States,TRUE
2021-07-14,Senegal,Malawi,2,1,COSAFA Cup,Port Elizabeth,South Africa,TRUE
2021-07-14,South Africa,Zambia,0,0,COSAFA Cup,Port Elizabeth,South Africa,FALSE
2021-07-15,Haiti,Canada,1,4,Gold Cup,Kansas City,United States,TRUE
2021-07-15,United States,Martinique,6,1,Gold Cup,Kansas City,United States,FALSE
2021-07-16,Senegal,Eswatini,2,2,COSAFA Cup,Port Elizabeth,South Africa,TRUE
2021-07-16,South Africa,Mozambique,3,0,COSAFA Cup,Port Elizabeth,South Africa,FALSE
2021-07-17,Grenada,Qatar,0,4,Gold Cup,Houston,United States,TRUE
2021-07-17,Panama,Honduras,2,3,Gold Cup,Houston,United States,TRUE
2021-07-18,Martinique,Haiti,1,2,Gold Cup,Frisco,United States,TRUE
2021-07-18,Mexico,El Salvador,1,0,Gold Cup,Dallas,United States,TRUE
2021-07-18,South Africa,Senegal,0,0,COSAFA Cup,Port Elizabeth,South Africa,FALSE
2021-07-18,United States,Canada,1,0,Gold Cup,Kansas City,United States,FALSE
2021-07-20,Honduras,Qatar,0,2,Gold Cup,Houston,United States,TRUE
2021-07-20,Panama,Grenada,3,1,Gold Cup,Orlando,United States,TRUE
2021-07-24,Mexico,Honduras,3,0,Gold Cup,Glendale,United States,TRUE
2021-07-24,Qatar,El Salvador,3,2,Gold Cup,Glendale,United States,TRUE
2021-07-25,Costa Rica,Canada,0,2,Gold Cup,Arlington,United States,TRUE
2021-07-25,United States,Jamaica,1,0,Gold Cup,Arlington,United States,FALSE
2021-07-29,Mexico,Canada,2,1,Gold Cup,Houston,United States,TRUE
2021-07-29,United States,Qatar,1,0,Gold Cup,Austin,United States,FALSE
2021-08-01,United States,Mexico,1,0,Gold Cup,Las Vegas,United States,FALSE
2021-09-01,Bahrain,Haiti,6,1,Friendly,Riffa,Bahrain,FALSE
2021-09-01,Central African Republic,Cape Verde,1,1,FIFA World Cup qualification,Douala,Cameroon,TRUE
2021-09-01,Denmark,Scotland,2,0,FIFA World Cup qualification,Copenhagen,Denmark,FALSE
2021-09-01,Egypt,Angola,1,0,FIFA World Cup qualification,Cairo,Egypt,FALSE
